출발_동,도착_동,지하철_승객수,버스_승객수,택시_승객수,클러스터,label,score
가락동,무악동,0,27,22844.59712,64,0.0,0.09544845154527092
가락동,묵동,15481,0,23004.00549,18,,0.7726706649599044
가락동,문래동,13933,0,22987.99945,20,,0.7059708101432041
가락동,문정동,267197,822166,45776.04941,78,1.0,1.0
가락동,미아동,9956,0,22946.87799,26,,0.49574395261218956
가락동,반포동,254107,3919,25567.49571,75,1.0,1.0
가락동,발산동,5462,0,22900.41085,36,,0.2638561794210014
가락동,방배동,46921,2454,23389.29081,2,,0.9998160414247919
가락동,방이동,188879,71814,26558.64771,73,1.0,1.0
가락동,방학동,4094,0,22886.26598,40,,0.20863617709999716
가락동,방화동,38823,0,23245.35752,5,,0.9984442164148318
가락동,번동,25217,0,23104.67396,11,,0.9679966543912657
가락동,보라매동,2315,417,22878.10127,45,,0.15729244740723752
가락동,보문동,7953,0,22926.16734,30,,0.38538816091256345
가락동,북성동,474,0,22848.83584,56,0.0,0.10471203478416781
가락동,불광동,1776,701,22879.49518,47,,0.1464522952354422
가락동,사근동,20399,967,23078.57912,14,,0.9207837877651726
가락동,사당동,60942,1374,23507.77088,8,,0.9999909122293369
가락동,사직동,153740,256,24439.85859,72,1.0,0.9999999999999907
가락동,삼선동,35900,0,23215.13423,6,,0.9970053969255472
가락동,삼성동,158414,100539,26948.32579,73,1.0,1.0
가락동,삼양동,5138,0,22897.06075,37,,0.24997116415960421
가락동,삼전동,0,127351,25968.10484,69,,0.9999993602131453
가락동,삼청동,0,245,22849.94509,60,0.0,0.09791726075632799
가락동,상계동,67090,288,23544.69837,13,,0.9999973688763825
가락동,상도동,44403,0,23303.05371,3,,0.9995550240861039
가락동,상봉동,35395,8136,23409.50468,1,,0.9988300373535899
가락동,상암동,16571,0,23015.27589,17,,0.8127807285360451
가락동,상일동,35019,2170,23259.25922,4,,0.9972448941629372
가락동,서강동,14928,0,22998.28757,19,,0.7501276295169496
가락동,서교동,76162,0,23631.436,20,,0.9999996437394717
가락동,서림동,3966,0,22884.94248,40,,0.2039309408123076
가락동,서빙고동,1699,287,22868.54279,48,1.0,0.13780093474087057
가락동,서원동,54521,1,23407.69652,6,,0.9999540943765909
가락동,서초동,528708,9160,28535.39215,78,1.0,1.0
가락동,석관동,10845,488,22968.04169,24,,0.5611564501427012
가락동,석촌동,202136,285309,31933.17421,76,1.0,1.0
가락동,성내동,715287,91130,32475.47013,79,1.0,1.0
가락동,성산동,12480,0,22972.97569,22,1.0,0.6340581062960519
가락동,성수동,114221,7582,24210.96048,69,,0.9999999999740761
가락동,세곡동,0,96734,25217.00971,67,,0.9999660915402677
가락동,소공동,57252,536,23449.05917,7,,0.9999768019847073
가락동,송정동,0,2934,22915.91154,50,,0.13332408818179717
가락동,송천동,18756,0,23037.86839,16,,0.8763985777203681
가락동,송파동,12111,465670,34392.95971,76,1.0,1.0
가락동,수궁동,7145,0,22917.81276,32,,0.3434059367133967
가락동,수색동,1375,0,22858.15201,50,,0.1252487208127146
가락동,수서동,521652,279620,35097.34922,78,1.0,1.0
가락동,수유동,4146,0,22886.80365,40,,0.21057037430361178
가락동,숭인동,15451,171,23007.89026,18,,0.7753711363563948
가락동,시흥동,2336,0,22868.08858,46,,0.1508597814144791
가락동,신길동,23596,1017,23112.86212,12,,0.9599718611591515
가락동,신내동,4451,1076,22916.35368,37,,0.24722276096220452
가락동,신당동,25229,0,23104.79803,11,,0.9680800147889979
가락동,신대방동,6491,57,22912.44884,33,,0.31268470460090486
가락동,신도림동,28967,0,23143.44828,9,,0.9859549603887907
가락동,신림동,51,981,22868.52795,56,0.0,0.10777326836986482
가락동,신사동,37754,1900,23280.91499,2,,0.9984540851364384
가락동,신정동,15005,0,22999.08373,19,,0.7533540139734208
가락동,신촌동,32791,0,23182.98774,7,,0.9939995909170137
가락동,신포동,19,0,22844.13122,63,0.0,0.09551448767965713
가락동,아현동,18283,0,23032.97766,16,,0.8644274627253277
가락동,안암동,22389,0,23075.43295,13,,0.9412790568354564
가락동,암사동,233118,7,25254.50422,75,1.0,1.0
가락동,압구정동,116209,13982,24388.52061,69,,0.9999999999927653
가락동,약수동,31628,1298,23202.80502,7,,0.9934199557675041
가락동,양재동,386564,26,26841.57408,77,1.0,1.0
가락동,양평동,14376,0,22992.57999,19,,0.7261860887197327
가락동,여의도동,152820,1176,24452.91537,72,1.0,0.9999999999999898
가락동,역삼동,216653,44777,26182.55512,74,,1.0
가락동,영등포동,22200,7,23073.65045,13,,0.9389412559625971
가락동,영종동,998,0,22854.2539,52,,0.11626528213462195
가락동,오금동,154969,386889,33937.43285,76,1.0,1.0
가락동,오류동,10007,0,22947.40532,26,,0.49860649435697585
가락동,오륜동,118614,92563,26341.13409,70,1.0,0.9999999999999998
가락동,옥수동,19019,0,23040.58776,15,,0.882654152873889
가락동,왕십리도선동,0,1626,22883.82373,54,,0.11491412280788701
가락동,왕십리동,15947,879,23030.38744,17,,0.808774356763286
가락동,용강동,14863,0,22997.61548,19,,0.7473822403173324
가락동,용답동,130277,4712,24306.56987,71,,0.9999999999989773
가락동,용산동,4039,362,22894.57786,39,,0.21440553530611878
가락동,용신동,26715,25040,23734.44337,0,,0.9990823993764684
